id;attribute_name;attribute_type;attribute_length;attribute_description;allow_null;is_primary;is_unique;is_indexed;is_foraign_key
1;New York tangible Mississippi;ASCII;76078;Idaho compress Avon;true;true;false;false;false
2;Intelligent Outdoors;ASCII;69551;Concrete Investment Account Saint Lucia;false;false;true;false;true
3;Chilean Peso Unidades de fomento;ASCII;87146;digital maroon;true;true;true;false;true
4;National;ASCII;27213;withdrawal;false;true;false;true;false
5;Hat;ASCII;11986;24/7;true;false;false;false;true
6;Kenyan Shilling robust;ASCII;71227;Plastic;true;false;false;true;true
7;paradigms Home;ASCII;14489;Berkshire Designer;false;true;true;false;true
8;Ergonomic transmitter;ASCII;39882;bypassing optical;false;false;true;false;true
9;HDD;ASCII;1658;Buckinghamshire Future-proofed deposit;false;true;true;false;false
10;Creative Metal;ASCII;54144;Fiji Dollar Profound Bacon;true;true;true;true;false
